sample_ML6	sample_ML7	sample_ML8	sample_ML9	sample_HFS211	sample_HFS212	sample_HFS213	sample_HFS214
ACACB	1.5243749	2.665256	1.798585	3.102381	2.791098	3.009296	4.565142	4.647418
ACAD10	5.46045	10.7898	7.078982	6.5311365866	8.59839000317652	6.68024	8.29903	6.08659
ACAD11	0.989158	0.465148	1.17987	0.312266	0.682633	0.242128	0.407591	0.739029
ACAD8	17.2002	21.416	15.0947	18.6423	21.3403	17.7061	19.8058	19.555
ACAD9	15.7021	21.4987	13.4443	19.3707	33.634	22.743	29.7204	24.6443
ACADL	14.6591	14.4217	14.6278	15.749	29.3607	43.4973	20.474	49.8651
ACADM	24.1267	32.2082	18.6405	26.1353	36.6212	65.0911	41.9424	77.147
ACADS	10.9211	12.8778	7.9877	13.6814	15.699	10.7586	22.1614	14.4237
ACADSB	29.056	39.8468	24.3121	30.1789	50.672	33.5485	34.0538	41.9282
ACADVL	109.765	120.343	92.4778	92.4519	163.861	172.653	152.479	176.771
ACAN	1.41409	4.89613	1.5459900825814	1.822868	0.7563	0.10261761	0.320567	0.14948800172828
ACAP1	33.7215	70.586	30.215	51.1848	22.6054	28.04	21.6314	25.5632
ACAP2	14.680122	18.55055	9.04773600450696	12.448509	8.93935	13.510769	9.238432	14.028367
ACAP3	12.0507	21.3961	11.0123	17.1594	20.2431	20.6233	31.9762	20.5407
ACAT1	63.3938	66.5606	46.5612	52.2011	49.8775	49.5124	36.8272	56.4792
ACBD3	18.1475	27.2315	18.268	19.5271	14.9003	19.3483	12.1424	19.0012
ACBD4	8.46566	12.53053	6.97465	13.1987	11.40233	11.88527	15.940024	9.534896
ACBD5	16.6367972	12.6153663	10.4488207	12.6884674	11.0643951	18.016683	9.208582	20.858337
ACBD6	30.0498	22.2273	12.0165	18.7203	45.4697	21.1476	41.4997	14.5875
ACCS	6.31978	14.60448	3.66892	3.55322	5.24054	7.2329	6.053188	3.56437
ACCSL	0	0	0	0	0	0	0.0545903	0.181108
ACD	16.92042	25.22522	15.3719	18.351686	23.018591	20.20603	25.747674	20.35802
ACE	1.720854	1.429608	3.96972	4.41907	5.57012	3.124742	2.83058	4.26627
ACE2	0	0.0345933	0	0.037086	0	0	0	0.0765849
ACER1	0	0	0	0	0	0.145239	0	0
ACER2	10.0298	6.68172	4.8638	6.35497	4.73188	8.51892	3.59735	6.03848
ACER3	4.77694	6.459131	2.7387500186475	4.407619	15.3217	29.6046	28.225600107101	24.6649
ACHE	2.86144	3.02781	2.52796	3.120525	15.16384	27.05847	16.53854	12.86706
ACIN1	86.77905	143.44119	67.2488	96.63623	80.882502	90.30143	86.94162	72.67415
ACKR1	7.52195	10.779	8.07503	8.76257	20.2903	30.1535	26.7148	14.9766
ACKR2	2.25647	4.46574	0.987747	4.11146	1.58836	3.23759	1.15012	5.91792
ACKR3	4.74703	11.1067	4.699406	20.779997	15.6105	30.9691	13.5739	25.505981
ACKR4	28.9625	11.4749	12.0094	16.8324	24.0414	11.2517	7.55453	20.2146
ACLY	21.62495	28.6019	14.90489	21.3888	17.22251	22.0145858	14.20393	20.72847
ACMSD	0	0	0	0	0.664222	1.5151	1.719	1.52452
ACO1	30.6317	43.669	24.7707	35.316	35.0572	31.9482	30.3321	38.4618
ACO2	115.6580232114	129.8982	84.2333	105.2454	152.71100130807	138.604	119.34479623	130.327
ACOD1	0.28513	0.138455	0.21058	0.879971	0	0.0725099	0	0
ACOT11	4.15722000077383	4.298701	1.896433	7.21523	4.76872	6.101516	5.029449	7.055301
ACOT12	0.102542	0.0995217	0	0.0504872	0.89544	0.7900980933252	0.923905	0.553127
ACOT13	35.3097	49.0982	27.1521	40.8894	52.8092	49.7196	36.9009	51.4245
ACOT6	2.730772	2.153732	1.29342	1.50057	1.91546	1.70772	1.393328	1.131756
ACOT7	24.7422	39.6033	23.2214	39.1722	44.5748	40.6031	52.2934	40.8876
ACOT8	24.0847	20.8127	17.7707	15.9149	33.2238	26.3001	24.4906	27.6379
ACOX1	20.579406	26.297065	15.692913	25.21665	18.832827	26.41937	17.50537	23.99414
ACOX2	4.79541	3.46788	2.23713909971	6.30444500085931	7.55562000030544	7.164752	8.007740439225	9.833605
ACOX3	9.601568	13.199822	6.175791	9.921493	5.3931388	5.368548	6.309161	7.66308
ACOXL	0.807398	1.70106	1.09587	1.88652	0.845356	1.01165	1.27036	0.656173
ACP1	81.26946	106.67115	56.03185	80.38606	115.64483	138.11883	112.43569	117.16636
ACP2	37.04353	52.1279	35.46351	42.243	32.20011	34.6892	34.24013	43.513915
ACP3	2.58675	1.81572	0.845402	3.30636	0.583476	0.58723	0.481816	0.52394
ACP4	0.656729	0.496089	0.215571	0.300113	0.27729	0	0.42935	0.158478
ACP5	173.018	168.183	194.765	172.926	208.006	165.666	250.421	203.721
ACP6	7.24151	3.23969	5.041067	2.79016	3.090878162	3.38664	2.854291	2.777633
ACP7	0.66016	2.33053	0.709041	1.36291	0	0.121849	0.0586829	0
ACR	0	0	0	0	0	0	0	0
ACRBP	1.28188	3.25365	1.31038	1.58286	1.061	0.699367	0.913783	0.58474
ACRV1	0.512072	0.332684	0	0.511547	0	0	0.168177	0.374012
ACSBG1	0.172094	0.267095	0	0.179039	0.566179	1.07821	0.468487	1.58863
ACSF2	3.05364	2.88055	2.58814	1.76062	7.83696	5.87995	7.39412	9.90247
ACSF3	7.72367	12.4982	6.78308	9.36796	8.59	6.61523	6.83613	7.84492
ACSL1	3.839387	0.815637	0.955005	1.5093800641	38.1174	36.754	54.794075	24.568473
ACSL3	10.991	20.3729	5.11763	11.9888	16.6917	31.7328	19.0927	24.6032
ACSL4	24.30821	29.77762	19.48967	25.54336	13.58544	31.32875	18.882641	32.20056
ACSL5	80.652842246	84.557252	67.0860780080108	86.3451600008203	53.651799	61.271866	50.56476	59.340077
ACSL6	0.110131	0.0921465099757	0.046643076484	0.0826973873	0.533658	1.56185801827899	0.76160100723161	1.103947
ACSM1	0.0430273	0	0.0423505	0.803627	1.19807	0.91449	0.922092	1.15761
ACSM3	3.06857	6.10013	6.72331	6.30419	4.1977	3.00894	2.60718	6.40393
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0.747372	0.981702	1.02699	0.680709
ACSM6	0	0	0	0	0	0	0	0
ACSS1	18.264	28.9904	11.981	17.973	28.7712	37.0987	24.6097	33.0303
ACSS2	34.887	48.611	26.1573	35.8681	30.33	33.6135	31.6638	38.2131
ACSS3	12.3874	12.0869	7.35548	10.575	10.0298	11.9284	7.60784	17.1383
ACTA1	0.643132	1.02164	0.575613	0.905716	17.1009	13.7068	5.48635	4.55128
ACTA2	9.70905	26.6912	7.6078	23.3025	31.5213	45.3235	50.3704	53.6066
ACTB	4494.17	7423.96	3528.07	5132.26	3377.14	3291.24	2921.05	2884.61
ACTBL2	0	0	0.100678	0	0	0	0	0
ACTC1	0.07188099025	0	0.283133	0.14787002814	28.1784251904	21.777586526	17.57286715	22.258969827
ACTG1	685.489	1047.4	494.907	846.809	875.121	642.981	533.345	678.39
ACTG2	2.13822	2.00017	1.1699	4.22625	3.91286	5.80834	5.44389	10.2529
ACTL10	0.156444	0.0606954	0.215535	0.130331	0.0395883	0.0316005	0.0607981	0.100661
ACTL6A	50.8121	64.1931	32.0046	46.7671	55.691	56.8067	45.0522	70.8648
ACTL6B	0	0	0.0550931	0	0.283414	0.510922	0.601376	0.604586
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0
ACTMAP	7.01511	7.596582	3.236389	3.956454	4.1043626	5.71174	4.0471	5.4498200366119
ACTN1	16.11526	30.88897	12.03823	22.83283	41.02829	49.66351	42.37633	41.72419
ACTN2	0.0171107	0.11612	0.0505036	0.0178962	1.37821	1.94211	1.36378	1.664745938205
ACTN3	0.283904	0.214175	0.0620858	0.361315	0.239476	0.223024	0.183898	0.202986
ACTN4	40.7790798	44.06293143	27.738338	42.7926112	81.9520676	81.6315291	74.17398	77.256237
ACTR10	34.3593	54.6228	27.1776	31.8424	30.1937	32.5475	40.19	56.9652
ACTR1A	78.0073	103.108	72.9601	81.5569	72.6822	77.6117	79.4272	89.2219
ACTR1B	22.2403	36.3368	21.0641	27.6605	20.9708	23.062	20.7556	25.758
ACTR2	86.464094	118.083	55.1691	76.994973	69.893588	111.251838	62.833409	121.098
ACTR3	193.343	259.845	118.522	169.24	150.459	222.001	137.482	254.229
ACTR5	11.949687	14.332429	8.994855	11.946975	8.61366	7.34675	7.01964	6.96655
ACTR6	10.8132	12.8836	8.12865	9.36624	7.85405	15.153	7.55989	14.8399
ACTR8	17.46532	21.70562	15.62179	18.89022	12.72798	14.40816	11.08843	16.65272
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	1.81925	1.511628	0.984576	1.124717	1.070378	0.9773712	0.852278	1.272096
ACVR1	2.584014	3.495917	2.42781200308617	3.755397	2.74445	3.825559	2.396994	3.288814
ACVR1B	1.56078	2.10291	1.65533	2.77455	1.89729	3.28951	2.53426	3.66154
ACVR1C	0.04216	0.0163448	0	0.0707416	0.0106621	0.0424072	0.00815082	0
ACVR2A	2.0064	2.26448	1.28965	2.08321	2.17653	2.523977	1.31566	3.563808
ACVR2B	1.647814	0.603972	2.37203	1.0732700335073	0.519675	0.6833700267409	0.654507	1.718398
ACVRL1	28.69488	25.42733	26.34149	28.858294455	40.99853	31.00872	40.69181	43.75378
ACY1	5.39146	9.62061	4.50344	7.88355	7.72218	9.05771	6.43535	8.9389
ACYP1	14.881576	16.13555	9.832784	9.622617	9.22206	15.470608	9.90938	13.83003
ACYP2	0.796261	2.086	0.290091	1.028841	8.989254	9.462948	10.702863	6.864949
ADA	14.3899	20.7073	14.2139	15.2096	28.0778	33.4357	59.2985	23.1144
ADA2	139.9003	77.3723	130.0488	102.6009	29.1699	46.2456	34.6583	29.64135
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0.0578039	0.0586583	0	0.0251363	0.0200299	0.0192587	0
ADAL	7.7581945415	12.608101	5.960043	7.20708	4.3399370111417	6.449404	4.66579	6.526423
ADAM10	30.071	45.9989	21.736	30.7172	41.8311	60.3987	51.0893	54.0331
ADAM11	0.667249	0.997022	1.111293	1.081019	0.973493	1.534694	1.625745	1.347696
ADAM12	2.233865	5.630354	2.584793	5.141389	5.06277	4.46188	4.98074	3.80801
ADAM15	3.931836330765	4.6064	4.039189	5.475611	4.601007	7.4631037338777	7.15982	6.73644025495631
ADAM17	16.8182572	29.377515	15.18908	18.499199	13.387664	17.434002	11.87187	16.6142
ADAM19	9.49627	14.6032	6.34246	13.2146	15.4587	12.6443	21.0633	12.9088
ADAM2	0	0	0	0	0	0.0354988	0	0
ADAM22	0	0.14892905546689	0.0251929488436	0.0447604992823	0.118738148396	0.532382613188	0.1654079522354	0.475841115966665
ADAM23	0.0123943	0.0243816	0.0975463	0.0129779	0.1431380251327	0.636263	0.6570770294045	1.41421
ADAM28	0.193917	0.301008	0.114512	0.322357	0.343567	2.118	0.226461	2.83453
ADAM32	0	0.0397913	0	0	0	0	0	0
ADAM33	0.472064	0.715376	0.40647	0.707042	0.0373284	0.655347	0.22923	0.53759
ADAM7	0	0	0	0	0	0	0	0
ADAM8	32.9196	54.9313	31.7546	55.6487	44.7611	39.2282	58.577	45.0213
ADAM9	8.67143	6.81687	5.28433	8.65449	5.45935	7.49944	3.86079	10.4354
ADAMDEC1	1.94754	0.945502	0.127839	0.736038	0.739916	3.23206	0.127095	1.89875
ADAMTS1	1.8389	1.99897	1.24272	3.20407	1.52709	3.94936	3.50916	3.45285
ADAMTS10	3.55844	7.808635	3.95356	2.924185	5.159855	5.80315000036805	5.707632	22.69718
ADAMTS12	0.131937	0.284945	0.105833	0.322085	0.332998	0.303137	0.354824	0.35903
ADAMTS13	9.03662	16.1216	9.39342	11.7342	4.83467	6.38909	6.12544	6.02034
ADAMTS14	0	0.065799	0.0166937	0	0.0643802	0.068372	0.0492985	0.0181184
ADAMTS15	0.210299	0.910579	0.206893	0.469678	1.34752	0.748154	0.556336	1.25644
ADAMTS16	0	0	0	0	0.0274523	0	0	0
ADAMTS17	0.664084	1.41294	0.604357	0.850978	1.11287	2.69252	1.06112	1.71944
ADAMTS18	0.0325452	0.0569217	0.0722098	0.0340479	0.315605000654358	0.953765	0.2557730013749	0.469061
ADAMTS19	0.051435	0	0	0.0179318	0	0	0.0166053	0.0183088
ADAMTS2	0.2666	0.904682	0.430929	0.517534	0.939359	1.57364	0.664242	1.24116
ADAMTS20	0.12695	0.118739	0.0535706	0.108579	0.109873	0.161034	0.0880074	0.0595588
ADAMTS3	0.151543433	0.106839434	0.189748978	0.187509491	0.47041329	2.23318714497	0.85331443	2.18989
ADAMTS4	0.332595	0.552742	0.264892	0.497141	0.821255	0.797586	0.705403	0.304314
ADAMTS5	0.157741	0.270358	0.0237835	0.281112	0.24363	0.339789	0.1752	0.525882
ADAMTS6	0.117571	0.0455855	0.034699	0.0369513	0.118943	0.0473321	0.750645	0.213096
ADAMTS7	0.798104	1.08001	0.932442	1.37405	1.61926	2.5626	2.15765	1.91733
ADAMTS8	0	0	0	0	0	0	0	0
ADAMTS9	0.0639353	0.43383	0.0628989	0.227662	0.339588	0.720832	0.395923	0.695504
ADAMTSL1	0.0658260802	0.236599	0.086047297	0.401658509	1.192697	0.841648815	1.21065569455	1.85797757
ADAMTSL2	2.75861	3.26925	2.86508	3.38402	7.00662	6.02644	6.21947	8.40523
ADAMTSL3	1.149090677131	1.291090396625	1.029997534938	1.73409950173028	2.4935300159728	6.0523610970891	2.2491000104788	4.6695426
ADAMTSL4	7.22047	13.29832	5.01109	10.93675	9.6719	11.53965	15.32675	11.01279
ADAMTSL5	2.5018038108	2.20568891	1.980616	2.683032195416	2.1806977	3.579580121883	3.012114	2.60187171
ADAP1	13.51429	14.73824	11.57445	18.737	16.173418	21.014518	33.97872	24.71989
ADAP2	5.44757	16.323654	5.06128	8.34349	9.201095	9.823774	9.25765	9.72497
ADAR	16.5275	27.1493	14.1789	21.9378	18.7439	16.7548	12.7071	14.2632
ADARB1	8.05047	9.17643	6.47249200036245	7.860833	10.461619	11.808386	8.226785	10.140186
ADARB2	0.116202	0.0375469	0.170159	0.0540859	0.424528	0.298939	0.2085306	0.440652
ADAT1	6.284726	5.68807	6.40239	5.231393	17.21069	15.1449	26.08827	6.92061
ADAT2	12.7666	16.8291	13.114833	20.9992	5.96846	7.04027	8.42667	13.078103
ADAT3	2.73228	4.32136	2.4904	2.56662	1.92158	1.64091	1.57987	1.30981
ADCK1	2.9081	6.30439	3.64724	4.734186	5.19419	6.365484	3.7925718527	5.89602
ADCK2	10.389282	9.381987	9.877149	9.152746	8.60864	8.513836	7.12087	6.813781
ADCK5	38.09023	56.96542	32.30065	39.58762	28.32514	26.71748	25.6176512	27.18366
ADCY1	0.122094	0	0.0480547	0.0254822	0.463353	0.418741	0.355323	0.627186
ADCY10	0.0326448	0.234211	0.0791358	0.152418	0.10085	0.194089	0.479364	0.0681033
ADCY2	1.24568	1.231834	0.796669	1.56168	0.919134	1.38131	0.926029	1.53142
ADCY3	3.08345000149152	4.22404	1.97838	3.80431100307179	3.84983000779284	4.71190602349	3.37378000162065	4.082090014024
ADCY4	1.94175	3.49358	2.35634	7.7293	4.06633	6.1124	3.59762	4.79854
ADCY5	0.132423	0.269864	0.144145	0.168693	0.463242	0.678674	0.595665	0.953704
ADCY6	5.6152544	9.516383	4.94164410443928	7.4314649	20.570133	22.663521	23.501457	22.178972
ADCY7	43.2393	52.7658	32.8421	55.1394	54.7578	65.2745	54.3932	64.8997
ADCY8	0.121332	0.121075	0.0994831	0.10565	0.105299	0.1049	0.0587965	0.19453
ADCY9	7.68231	10.1977	5.66828	10.4688	9.4521	10.6877	7.59807	11.8181
ADCYAP1	0	0	0	0.0348379	0.0847187	0.541177	0.357949	0.934017
ADCYAP1R1	0.4674	0.905805	0.2682450919946	0.3686922070513	0.55040000349005	1.5376893513	0.706169	0.9497500367749
ADD1	91.3432025057	148.899410713	52.69140266	78.545220485	144.809381275	142.06096	104.927528063473	121.107916010315
ADD2	0.15246900175401	0.106644	0.25998500333758	0.377440195862	15.324	11.31877	25.04356	12.09713
ADD3	11.2290080056632	31.4917970009578	9.264513179203	19.2768110013965	8.13689	26.225572	10.929533	21.953602
ADGB	0.0447336	0.0290161	0.0736586	0.0622222	0.0759102	0.164784	0.087278	0.0650841
ADGRA1	0.369962	0.17945	0.473339	1.99986	0.0468169	0.0748057	0.467869	0.198711
ADGRA2	1.149160016022	3.120293	1.2666230975908	1.54921	4.788378	7.99289000576792	5.5643576	8.479450473431
ADGRA3	1.37892	4.92065	1.16828	3.80526	5.59571	6.40784	4.67638	5.8936
ADGRB1	1.000338498212	1.542228020638	0.636544	1.57716930101935	1.89327701487653	2.0827219223101	1.7499157	2.42073600869126
ADGRB2	34.7648046243702	30.6588530029456	14.122315	23.2608435	46.95984	24.960066	28.84644	25.5930243386769
ADGRB3	0	0	0	0	0.1384670279728	0.258985103151	0.317886800104	0.368311
ADGRD1	1.61886	5.92755	1.65571	4.6057	0.59276	1.88977	1.09441	1.36648
ADGRE1	0.427626	1.80715	0.360698	1.01808	0.772922	0.524364	1.24619	1.0807
ADGRE5	70.2329	151.8153	77.2581	108.7708	87.1596	116.8987	91.9151	109.1776
ADGRF1	0.0931477	0.0903455	0	0	0.039285	0	0	0
ADGRF3	1.44231	0.383984	1.22448	1.5623	0.0357794	0.142735	0.0549163	0.454509
ADGRF4	0	0	0	0	0	0	0	0
ADGRF5	3.012735	2.2497108	1.995774294	2.8533302396934	5.02901	9.631647	2.86842048	9.345231
ADGRG1	3.90439024046	4.9073	3.333123870695	6.4381956671	12.2282280003606	21.312183	11.97437103486	16.736761
ADGRG2	0.0877193	0.267237	0.0616407	0.0393752	0.0158473	0.100912	0.121244	0.0935451
