pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.003438034	0.016828272	0.431707696	0.360629472	1.462717138	83	"c(""CD247"", ""LAT"", ""HCST"", ""PIK3R5"", ""ICAM1"", ""PRF1"", ""FYN"", ""ARAF"", ""LCK"", ""TNFSF10"", ""NFAT5"", ""NFATC3"", ""RAF1"", ""PLCG1"", ""PIK3CD"", ""HRAS"", ""PPP3CC"", ""IFNAR1"", ""MAP2K2"", ""RAC1"", ""CD48"", ""NRAS"", ""BID"", ""PPP3CB"", ""MAP2K1"", ""MAPK3"", ""RAC2"", ""PLCG2"", ""GRB2"", ""LCP2"", ""SH2D1A"")"
KEGG_VIBRIO_CHOLERAE_INFECTION	0.020040671	0.069028978	0.352487858	0.395143034	1.460006083	51	"c(""KDELR1"", ""KDELR2"", ""KDELR3"", ""SEC61A1"", ""SEC61B"", ""ACTB"", ""ATP6V0A2"", ""SEC61A2"", ""PDIA4"", ""ARF1"", ""PLCG1"", ""ATP6V1D"", ""ATP6V0D1"", ""CFTR"", ""ATP6V0E1"", ""ATP6V0E2"")"
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.000513368	0.004151581	0.477270815	0.320342411	1.447502288	192	"c(""CXCL16"", ""CCL19"", ""LTB"", ""IL2RG"", ""CXCR4"", ""IL2RB"", ""CCR9"", ""FLT3LG"", ""TNFRSF4"", ""FLT4"", ""TNFRSF18"", ""IL6R"", ""CCL26"", ""CCL22"", ""IL9R"", ""TNFRSF17"", ""IL21R"", ""IL4R"", ""TNFSF13B"", ""CCR4"", ""CCL21"", ""CCR7"", ""IL12RB1"", ""IL11RA"", ""IL15RA"", ""TNFSF10"", ""LTA"", ""NGFR"", ""CXCR6"", ""CXCR3"", ""TNFSF9"", ""CD27"", ""TNFRSF25"", ""CCL24"", ""IL4"", ""TGFBR2"", ""IL2RA"", ""IL23A"", ""IL23R"", ""IL21"", ""IL17RA"", ""TNFRSF13C"", ""LIF"", ""IL12RB2"", ""CNTF"", ""TNFSF11"", ""VEGFD"", ""IFNAR1"", ""IL15"", ""CD40LG"", ""INHBE"", ""CCL4"", ""TNFSF8"", ""TNFSF4"", ""VEGFC"")"
KEGG_STEROID_BIOSYNTHESIS	0.096866097	0.219720659	0.245041785	0.500790371	1.377475602	15	"c(""SQLE"", ""EBP"", ""DHCR7"", ""MSMO1"", ""CEL"", ""TM7SF2"", ""LSS"", ""FDFT1"")"
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.096114058	0.219720659	0.287805131	0.435979559	1.355800504	25	"c(""PIGS"", ""PIGB"", ""PIGY"", ""PIGP"", ""PIGM"", ""PIGH"", ""GPAA1"", ""PIGO"", ""PGAP1"", ""PIGX"", ""PIGT"")"
KEGG_OTHER_GLYCAN_DEGRADATION	0.141176471	0.291764706	0.204294757	0.4841368	1.294300781	14	"c(""GBA1"", ""NEU4"", ""MAN2B2"", ""AGA"", ""FUCA2"", ""HEXA"", ""FUCA1"")"
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.178666667	0.338945006	0.170932335	0.503156236	1.281656326	11	"c(""BMAL1"", ""NPAS2"", ""CRY2"", ""CLOCK"", ""BHLHE41"", ""CSNK1E"", ""CSNK1D"", ""PER1"")"
KEGG_PARKINSONS_DISEASE	0.07324544	0.181648691	0.287805131	0.309702401	1.260425235	84	"c(""NDUFAB1"", ""ATP5F1D"", ""NDUFA7"", ""LRRK2"", ""ATP5MC2"", ""NDUFB1"", ""NDUFA1"", ""NDUFC1"", ""HTRA2"", ""NDUFA4L2"", ""NDUFA6"", ""UBE2J1"", ""NDUFB8"", ""NDUFB5"", ""NDUFV2"")"
KEGG_ALLOGRAFT_REJECTION	0.182352941	0.339176471	0.178219875	0.467133162	1.248842922	14	"c(""PRF1"", ""CD28"", ""IL4"", ""CD40LG"", ""IL2"", ""CD40"", ""TNF"")"
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.18852459	0.344237695	0.208955028	0.352542792	1.195936474	34	"c(""CXCR4"", ""CCR9"", ""TNFRSF17"", ""TNFSF13B"", ""IL15RA"", ""ICOS"", ""CD28"", ""IL4"", ""TNFRSF13C"", ""IL15"", ""CD40LG"", ""IL2"", ""ICOSLG"", ""ITGB7"", ""CD40"", ""IL6"")"
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.057018644	0.147510981	0.321775918	0.293317156	1.195923471	86	"c(""CTSK"", ""MAP3K8"", ""TIRAP"", ""PIK3R5"", ""MAP2K6"", ""IRAK1"", ""TLR1"", ""NFKBIA"", ""TICAM2"", ""IKBKB"", ""IKBKE"", ""PIK3CD"", ""JUN"", ""TRAF6"", ""IFNAR1"", ""MAP2K2"", ""RAC1"", ""CCL4"", ""TLR6"", ""STAT1"", ""TRAF3"", ""MAP2K1"", ""MAPK3"", ""LY96"", ""TAB2"", ""CD40"", ""IL6"", ""TNF"", ""MAPK8"", ""CHUK"", ""IRAK4"", ""CXCL11"", ""AKT2"", ""MAPK1"", ""CXCL8"", ""CXCL10"", ""NFKB1"", ""CCL5"", ""RELA"")"
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.136600282	0.291764706	0.249246554	0.295648977	1.177700259	70	"c(""DAPP1"", ""PIK3R5"", ""RASGRP3"", ""CD79A"", ""MALT1"", ""NFAT5"", ""NFKBIA"", ""IKBKB"", ""NFATC3"", ""RAF1"", ""PIK3CD"", ""HRAS"", ""PPP3CC"", ""JUN"", ""MAP2K2"", ""RAC1"", ""NRAS"", ""PPP3CB"", ""MAP2K1"", ""MAPK3"", ""RAC2"", ""PLCG2"", ""GRB2"")"
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.264285714	0.435018963	0.161978949	0.385912483	1.160204711	22	"c(""CHST14"", ""B3GALT6"", ""CHPF2"", ""CHST15"", ""CSGALNACT2"", ""CHPF"", ""B4GALT7"", ""UST"", ""XYLT1"")"
KEGG_PROTEASOME	0.230046948	0.394773647	0.202071709	0.318979852	1.148712211	43	"c(""PSMB9"", ""PSMA3"", ""PSME2"", ""PSMB8"", ""PSMB10"", ""PSMB7"", ""PSMD11"", ""PSMD7"", ""PSME3"", ""PSMB1"", ""PSME1"", ""PSMB2"", ""PSMD13"", ""PSMA4"", ""PSMC2"", ""PSMB5"", ""PSMB3"")"
KEGG_LYSOSOME	0.112205479	0.251448423	0.287805131	0.264244968	1.141628361	116	"c(""CTSK"", ""LAPTM4B"", ""CLN3"", ""GGA2"", ""LAPTM5"", ""CTSC"", ""CTSH"", ""CLN5"", ""GLA"", ""IDS"", ""ATP6V0A2"", ""ARSA"", ""NAGA"", ""GBA1"", ""GNPTG"", ""AGA"", ""NAGLU"", ""LAMP1"", ""ATP6V0D1"", ""SLC17A5"", ""AP3M1"", ""SUMF1"", ""GALNS"", ""PPT1"", ""NPC2"", ""SGSH"", ""LGMN"", ""AP1M2"", ""TPP1"", ""CTSA"", ""AP1G1"", ""ATP6V0B"", ""ATP6AP1"", ""CTSW"", ""HEXA"", ""HYAL1"", ""ACP2"", ""AP3S1"", ""SCARB2"", ""CLTA"", ""CTSO"")"
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.262008734	0.435018963	0.181383128	0.316403303	1.129243489	41	"c(""PSTK"", ""TARS2"", ""QARS1"", ""YARS1"", ""IARS1"", ""WARS2"", ""SEPSECS"", ""CARS2"", ""WARS1"", ""TARS1"", ""FARSB"", ""LARS1"", ""MARS1"", ""VARS2"", ""GARS1"", ""MARS2"", ""CARS1"", ""HARS2"", ""RARS2"", ""DARS1"", ""YARS2"", ""IARS2"", ""VARS1"", ""AARS1"", ""RARS1"")"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.313624679	0.494756974	0.12267919	0.446659677	1.119288667	10	"c(""ST3GAL1"", ""GLA"", ""NAGA"")"
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.388174807	0.56632364	0.108394256	0.423413903	1.061036862	10	"c(""BCAT1"", ""IARS1"", ""BCAT2"", ""LARS1"", ""VARS2"", ""IARS2"", ""VARS1"")"
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.418803419	0.585695007	0.110122264	0.370458683	1.018984842	15	"c(""ST3GAL1"", ""B4GALT1"", ""B4GALT3"", ""FUT8"", ""B3GNT2"")"
KEGG_RNA_DEGRADATION	0.411458333	0.579782197	0.156312403	0.266954377	1.015877053	56	"c(""PATL1"", ""LSM6"", ""EXOSC6"", ""SKIC3"", ""LSM2"", ""SKIC2"", ""DCP1A"", ""CNOT1"", ""CNOT4"", ""CNOT2"", ""EXOSC3"", ""EXOSC1"", ""CNOT8"", ""CNOT6L"", ""XRN2"", ""EXOSC2"", ""ZCCHC7"", ""PAPOLG"", ""LSM8"", ""SKIC8"", ""LSM1"", ""EDC4"")"
KEGG_COLORECTAL_CANCER	0.450777202	0.612004085	0.1482615	0.259370704	1.004719529	61	"c(""TCF7"", ""LEF1"", ""PIK3R5"", ""ARAF"", ""SMAD3"", ""APC"", ""BCL2"", ""TGFBR2"", ""RAF1"", ""PIK3CD"", ""JUN"", ""RALGDS"", ""RAC1"", ""MAP2K1"", ""MAPK3"", ""RAC2"", ""SMAD4"", ""MAPK8"", ""AKT2"", ""RHOA"", ""MAPK1"")"
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.48	0.633191489	0.101713902	0.375729748	0.984639379	13	"c(""FDPS"", ""PMVK"", ""HMGCR"", ""DHDDS"", ""MVK"", ""IDI1"", ""ACAT1"", ""PDSS2"", ""HMGCS1"")"
KEGG_SELENOAMINO_ACID_METABOLISM	0.510714286	0.655123153	0.111918316	0.314157401	0.976960395	25	"c(""GGT1"", ""PAPSS2"", ""LCMT2"", ""HEMK1"", ""CTH"", ""BUD23"", ""AHCYL1"", ""GGT7"", ""MAT2A"", ""AHCY"", ""MARS1"", ""AHCYL2"", ""MAT2B"", ""LCMT1"")"
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.550387597	0.687061027	0.112378519	0.278797392	0.93448278	32	"c(""TAF10"", ""TAF7"", ""GTF2H4"", ""TAF12"", ""GTF2A2"", ""GTF2B"", ""GTF2A1"", ""TAF2"")"
KEGG_RIBOFLAVIN_METABOLISM	0.548192771	0.687061027	0.09688777	0.33541561	0.928658794	16	"c(""ACP3"", ""MTMR1"", ""RFK"", ""MTMR2"", ""ENPP3"", ""PHPT1"", ""ACP6"", ""ACP2"")"
KEGG_RNA_POLYMERASE	0.604316547	0.729888816	0.101713902	0.291351681	0.923057175	26	"c(""POLR1H"", ""POLR3K"", ""POLR2G"", ""POLR2A"", ""POLR2D"", ""POLR3D"", ""POLR3GL"", ""POLR3G"", ""POLR3B"", ""POLR3F"", ""POLR2K"")"
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.689119171	0.791495387	0.116739205	0.237161572	0.889126077	53	"c(""STING1"", ""NFKBIA"", ""TRIM25"", ""IKBKB"", ""IKBKE"", ""MAP3K1"", ""CYLD"", ""RIGI"", ""ATG5"", ""TRAF6"", ""TRAF3"", ""TNF"", ""ATG12"", ""MAPK8"", ""CHUK"", ""CXCL8"", ""CXCL10"", ""NFKB1"", ""RELA"")"
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.642633229	0.771159875	0.089986079	0.31256771	0.876059219	17	"c(""IDS"", ""NAGLU"", ""HPSE"", ""GALNS"", ""SGSH"", ""HEXA"", ""HYAL1"")"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.707006369	0.795375835	0.085535695	0.29843057	0.855256845	18	"c(""B4GALT1"", ""ST3GAL6"", ""FUT7"", ""B4GALT3"", ""B3GNT2"")"
KEGG_RETINOL_METABOLISM	0.66951567	0.78320701	0.082434409	0.308909493	0.849687443	15	"c(""ALDH1A2"", ""PNPLA4"", ""RDH10"")"
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.655526992	0.775561522	0.078089231	0.33504746	0.839598567	10	"c(""PRF1"", ""CD28"", ""IL2"", ""IL6"", ""TNF"")"
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.75	0.830357143	0.078089231	0.293769774	0.785369855	14	"c(""ALDH1A3"", ""GSTO1"", ""MGST1"", ""GSTK1"", ""ADH7"", ""GSTM3"")"
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.821656051	0.885413125	0.077476755	0.272857759	0.781969039	18	"c(""ALDH1A3"", ""GSTO1"", ""MGST1"", ""FMO3"", ""GSTK1"", ""ADH7"", ""GSTM3"", ""FMO4"")"
KEGG_LEISHMANIA_INFECTION	0.912371134	0.95372773	0.09854998	0.211057974	0.773837275	50	"c(""NOS2"", ""IRAK1"", ""NFKBIA"", ""ELK1"", ""IL4"", ""JAK1"", ""JUN"", ""TRAF6"", ""NCF1"", ""STAT1"", ""MAPK3"", ""MARCKSL1"", ""TAB2"", ""TNF"", ""IRAK4"", ""MAPK1"", ""NFKB1"", ""RELA"")"
KEGG_SPLICEOSOME	0.991304348	0.991304348	0.127505315	0.159496701	0.689592515	118	"c(""SRSF6"", ""SNRPB2"", ""DDX39B"", ""LSM6"", ""SF3B1"", ""LSM2"", ""PRPF40B"", ""RBM25"", ""HSPA2"", ""TXNL4A"", ""DDX5"", ""BUD31"", ""SNRNP27"", ""HNRNPC"", ""SNRPD2"", ""SRSF5"", ""PQBP1"", ""THOC3"", ""PRPF38B"", ""MAGOHB"", ""SNRPA1"", ""TRA2A"")"
KEGG_NON_HOMOLOGOUS_END_JOINING	0.963788301	0.974264261	0.062800398	0.218281744	0.570858684	12	"c(""POLL"", ""LIG4"", ""XRCC6"", ""POLM"", ""MRE11"", ""XRCC4"", ""NHEJ1"", ""DNTT"", ""XRCC5"", ""PRKDC"", ""RAD50"", ""FEN1"")"
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.944598338	0.967334848	0.031205297	-0.236512867	-0.612116367	22	"c(""SPIRE1"", ""FMN2"", ""EGFR"")"
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.976047904	0.981323839	0.021796003	-0.204260978	-0.638957099	72	"c(""FCER1A"", ""MAPK10"", ""PIK3R1"", ""PLA2G5"", ""MAP2K3"", ""MAPK9"", ""AKT3"", ""PIK3R2"")"
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.951732673	0.967334848	0.025060399	-0.21646768	-0.648006013	50	"c(""BTRC"", ""WNT8B"", ""BMP2"")"
KEGG_SULFUR_METABOLISM	0.866115702	0.915326822	0.043537824	-0.325872162	-0.668755983	8	"c(""SUOX"", ""PAPSS1"", ""CHST13"", ""CHST12"", ""SULT2B1"")"
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.928395062	0.959341564	0.02625434	-0.226937146	-0.677845478	49	"c(""TAB3"", ""MAPK10"", ""HSP90AA1"", ""MAPK9"", ""SUGT1"", ""IL1B"", ""MAP3K7"", ""IKBKG"", ""ERBIN"", ""MEFV"", ""NLRP1"", ""MAPK11"", ""TAB1"", ""PYCARD"", ""HSP90AB1"")"
KEGG_VEGF_SIGNALING_PATHWAY	0.946859903	0.967334848	0.024003595	-0.219959628	-0.683452336	67	"c(""CHP2"", ""PIK3R1"", ""NOS3"", ""PLA2G5"", ""PXN"", ""KDR"", ""AKT3"", ""PIK3R2"", ""PPP3CA"")"
KEGG_BASAL_CELL_CARCINOMA	0.9184178	0.95433358	0.026886083	-0.234257723	-0.704698521	53	"c(""WNT8B"", ""BMP2"", ""APC2"", ""FZD3"", ""PTCH1"", ""PTCH2"", ""TCF7L1"", ""FZD5"", ""FZD1"", ""BMP4"", ""WNT7A"", ""SMO"", ""AXIN2"", ""WNT7B"", ""WNT9A"", ""AXIN1"", ""TCF7L2"")"
KEGG_O_GLYCAN_BIOSYNTHESIS	0.855944056	0.91497468	0.036378306	-0.274920956	-0.716204946	24	"c(""B4GALT5"", ""GALNT18"", ""GALNT17"", ""GALNT15"", ""ST3GAL2"", ""GALNTL6"", ""GCNT4"", ""GALNT10"")"
KEGG_ETHER_LIPID_METABOLISM	0.861643836	0.915326822	0.03509011	-0.268610104	-0.7165434	27	"c(""PLPP3"", ""LPCAT1"", ""PLA2G5"", ""ENPP2"", ""PLD1"", ""CHPT1"", ""PLA2G2D"", ""PLA2G4A"", ""PLA2G4E"")"
KEGG_HUNTINGTONS_DISEASE	0.912707182	0.95372773	0.021000344	-0.221803931	-0.751500134	137	"c(""GRIN1"", ""PLCB2"", ""CLTB"", ""GRM5"", ""SOD1"", ""PLCB1"", ""HIP1"", ""AP2M1"", ""DCTN1"", ""PPARG"", ""GRIN2B"", ""HDAC1"", ""GPX1"", ""AP2A1"", ""RCOR1"", ""NDUFV1"", ""VDAC3"", ""DLG4"", ""PLCB3"", ""IFT57"", ""PLCB4"", ""NDUFA10"", ""SLC25A6"", ""BDNF"", ""NDUFS2"", ""PPID"", ""POLR2F"", ""NDUFB9"", ""DNAI2"", ""HDAC2"", ""AP2A2"", ""SOD2"", ""NDUFA8"", ""DCTN4"", ""CREB3L3"")"
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.823529412	0.885413125	0.029919567	-0.250214965	-0.795036495	80	"c(""E2F4"", ""BMP2"", ""THBS2"", ""THBS4"", ""CHRD"", ""LTBP1"", ""RPS6KB2"", ""RBL1"", ""THBS1"", ""INHBB"", ""ID4"", ""ROCK2"", ""PPP2R1B"", ""MYC"", ""INHBA"", ""BMP4"", ""RBX1"", ""INHBC"", ""ACVRL1"")"
KEGG_RENAL_CELL_CARCINOMA	0.819277108	0.885413125	0.031349	-0.255635608	-0.796778588	69	"c(""GAB1"", ""PIK3R1"", ""SLC2A1"", ""ELOC"", ""ARNT2"", ""EPAS1"", ""PAK4"", ""RAP1A"", ""AKT3"", ""PAK5"", ""PIK3R2"")"
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.694864048	0.791495387	0.049490487	-0.352936976	-0.822790612	14	"c(""AKR1D1"", ""HSD17B7"", ""SRD5A2"", ""SULT2B1"", ""HSD17B2"")"
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.766908213	0.844052826	0.034641017	-0.264967791	-0.823964196	66	"c(""CXCR2"", ""MAPK10"", ""ATP6V1G2"", ""ADAM10"", ""PTPRZ1"", ""MAPK9"", ""ATP6V0A1"", ""JAM3"", ""IKBKG"", ""EGFR"", ""ATP6V1F"", ""IGSF5"", ""ATP6V0A4"", ""SRC"", ""HBEGF"", ""ATP6V1C2"", ""MAPK11"")"
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.821948488	0.885413125	0.027518293	-0.247496715	-0.830997962	127	"c(""BTRC"", ""UBE2F"", ""CUL4A"", ""UBE2QL1"", ""HERC1"", ""UBE2R2"", ""ELOC"", ""UBE2Q2"", ""BRCA1"", ""DDB1"", ""FZR1"", ""CDC20"", ""PRKN"", ""FANCL"", ""UBE4B"", ""ANAPC13"", ""UBE2B"", ""TRIM32"", ""UBE2S"", ""NEDD4"", ""UBE2K"", ""KEAP1"", ""UBE3C"", ""ANAPC5"", ""ITCH"", ""FBXO2"", ""RBX1"", ""SAE1"", ""ANAPC4"", ""NEDD4L"", ""NHLRC1"")"
KEGG_MTOR_SIGNALING_PATHWAY	0.738861386	0.82292346	0.037536291	-0.278375784	-0.833330788	50	"c(""PIK3R1"", ""ULK1"", ""PRKAA2"", ""RPS6KB2"", ""AKT3"", ""PIK3R2"", ""STK11"", ""EIF4EBP1"", ""PRKAA1"")"
KEGG_SPHINGOLIPID_METABOLISM	0.692903226	0.791495387	0.042417005	-0.294213451	-0.840446121	37	"c(""ACER3"", ""PLPP3"", ""SGMS2"", ""ENPP7"", ""B4GALT6"", ""ASAH1"", ""GAL3ST1"")"
KEGG_THYROID_CANCER	0.709851552	0.795375835	0.043363699	-0.309972219	-0.840894582	29	"c(""NCOA4"", ""RXRA"", ""PPARG"", ""TPR"", ""CCND1"", ""NTRK1"", ""TCF7L1"", ""MYC"")"
KEGG_NOTCH_SIGNALING_PATHWAY	0.697877653	0.791495387	0.040575645	-0.29062568	-0.860705145	47	"c(""KAT2B"", ""CTBP2"", ""DLL1"", ""JAG1"", ""HDAC1"", ""HES1"", ""CTBP1"", ""MAML3"")"
KEGG_APOPTOSIS	0.696066746	0.791495387	0.03855791	-0.278542032	-0.873108534	73	"c(""CHP2"", ""PRKAR2B"", ""ENDOD1"", ""BCL2L1"", ""PIK3R1"", ""AKT3"", ""CAPN1"", ""PIK3R2"", ""IL1B"", ""DFFB"", ""PPP3CA"", ""NTRK1"", ""IKBKG"", ""IL3RA"", ""TNFRSF1A"", ""TRADD"")"
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.601226994	0.729888816	0.056886416	-0.384438011	-0.887095768	13	"c(""PLA2G5"", ""FADS2"", ""PLA2G2D"", ""PLA2G4A"", ""PLA2G4E"")"
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.653429603	0.775561522	0.041908175	-0.285369623	-0.890525135	71	"c(""PLCD3"", ""PIP5K1B"", ""PLCB2"", ""PIK3R1"", ""PLCB1"", ""PIP4K2A"", ""CALM3"", ""DGKH"", ""PIK3R2"", ""INPP4A"", ""INPP5A"", ""PLCB3"", ""INPP5J"", ""PLCE1"", ""PLCB4"", ""DGKB"", ""CALM2"", ""CDS1"", ""SYNJ1"", ""DGKG"")"
KEGG_LINOLEIC_ACID_METABOLISM	0.587275693	0.718639993	0.060903935	-0.419070832	-0.904603126	10	"c(""PLA2G5"", ""PLA2G2D"", ""PLA2G4A"", ""PLA2G4E"")"
